Initial Condition       Final Condition
---------------------------------------------------------------
 0.1253332		 0.1253332
 0.2486899		      -inf
 0.3681246		      -nan
 0.4817537		       inf
 0.5877853		      -nan
 0.6845471		      -inf
 0.7705132		      -nan
 0.8443279		       inf
 0.9048271		      -nan
 0.9510565		      -inf
 0.9822873		      -nan
 0.9980267		       inf
 0.9980267		      -nan
 0.9822873		      -inf
 0.9510565		      -nan
 0.9048271		       inf
 0.8443279		      -nan
 0.7705132		      -inf
 0.6845471		      -nan
 0.5877853		       inf
 0.4817537		      -nan
 0.3681246		      -inf
 0.2486899		      -nan
 0.1253332		       inf
 0.0000000		      -nan
-0.1253332		      -inf
-0.2486899		      -nan
-0.3681246		       inf
-0.4817537		      -nan
-0.5877853		      -inf
-0.6845471		      -nan
-0.7705132		       inf
-0.8443279		      -nan
-0.9048271		      -inf
-0.9510565		      -nan
-0.9822873		       inf
-0.9980267		      -nan
-0.9980267		      -inf
-0.9822873		      -nan
-0.9510565		       inf
-0.9048271		      -nan
-0.8443279		      -inf
-0.7705132		      -nan
-0.6845471		       inf
-0.5877853		      -nan
-0.4817537		      -inf
-0.3681246		      -nan
-0.2486899		       inf
-0.1253332		      -nan
-0.0000000		      -inf
 0.1253332		      -nan
 0.2486899		       inf
 0.3681246		      -nan
 0.4817537		      -inf
 0.5877853		      -nan
 0.6845471		       inf
 0.7705132		      -nan
 0.8443279		      -inf
 0.9048271		      -nan
 0.9510565		       inf
 0.9822873		      -nan
 0.9980267		      -inf
 0.9980267		      -nan
 0.9822873		       inf
 0.9510565		      -nan
 0.9048271		      -inf
 0.8443279		      -nan
 0.7705132		       inf
 0.6845471		      -nan
 0.5877853		      -inf
 0.4817537		      -nan
 0.3681246		       inf
 0.2486899		      -nan
 0.1253332		      -inf
 0.0000000		      -nan
-0.1253332		       inf
-0.2486899		      -nan
-0.3681246		      -inf
-0.4817537		      -nan
-0.5877853		       inf
-0.6845471		      -nan
-0.7705132		      -inf
-0.8443279		      -nan
-0.9048271		       inf
-0.9510565		      -nan
-0.9822873		      -inf
-0.9980267		      -nan
-0.9980267		       inf
-0.9822873		      -nan
-0.9510565		      -inf
-0.9048271		      -nan
-0.8443279		       inf
-0.7705132		      -nan
-0.6845471		      -inf
-0.5877853		      -nan
-0.4817537		       inf
-0.3681246		      -nan
-0.2486899		      -inf
-0.1253332		      -nan
-0.0000000		       inf
 0.1253332		      -nan
